date,Elapsed Days,Temp.,pH,ORP,DO,Transp.,E-NH4-N,E-NO3-N,E-NO2-N,SS,BOD,C-BOD,N-BOD,T-N,NH4-N,NOx-N,NO3-N,NO2-N
17-Jul,3,,,,,,,,,9,,,,21,18,0.22,0.22,0
3-Aug,20,,,,,,,,,7,11,,,12,0.7,6.8,0.8,6
7-Aug,24,30.6,7.71,51,7.5,46.5,0.5,,,12,12,,,11,0.3,7.7,0.6,7.1
21-Aug,38,32.2,7.82,83,6.6,43.5,0.5,5,0.3,8,15,4.9,10.1,8.7,0.27,6.23,5.9,0.33
25-Aug,42,33.4,7.83,2,6.8,35,,,,10,19,9.4,9.6,12,3.2,6.78,6.1,0.68
28-Aug,45,31.1,7.48,137,6.6,52.5,1,7,0.5,16,9.2,5,4.2,9.9,0.52,7.36,6.8,0.56
3-Sep,51,29.7,7.91,110,7.1,80,5,8,1,9,17,3.7,13.3,12,3.7,6.98,6.5,0.48
8-Sep,56,31.8,7.76,102,6.2,91,7,8,2,6,31,4.5,26.5,15,6.1,7.9,6.7,1.2
10-Sep,58,30.7,7.6,15.5,6.3,87,10,8,2,9,33,4.3,28.7,16,6.7,7.5,6.2,1.3
15-Sep,63,27.3,7.82,69,6.6,55.5,13,8,2.5,8,41,4.8,36.2,19,9.4,7.8,6.3,1.5
17-Sep,65,27.6,7.67,61,6.2,57,17,8,3,8,57,6.2,50.8,20,9.9,7.3,5.8,1.5
24-Sep,72,21.3,7.95,195,7.7,55,20,4,1.6,9,37,8.3,28.7,23,16,5.2,3.7,1.5
6-Oct,84,20.8,8.2,135,8.5,60,20,4,2.5,7,16,6,10,24,18,4.3,3,1.3
8-Oct,86,16.8,7.95,147,8.9,65,20,3,2,7,16,5.7,10.3,,,,,
14-Oct,92,21.8,7.8,350,7.1,56.5,20,9,3,6,25,4.9,20.1,22,12,6.5,3.1,3.4
23-Oct,101,16.9,7.82,183,9.2,51.5,17,4,3,9,21,8.8,12.2,26,19,4.9,2.8,2.1
30-Oct,108,16.2,7.95,132,9.8,50,20,4,2.8,11,28,8.2,19.8,26,18,5.4,3.1,2.3
5-Nov,114,16.7,7.92,271,9.5,61,18,10,3,6,5.7,2.4,3.3,26,16,6.7,3.7,3
11-Nov,120,11.4,7.99,343,10.6,56,20,4,3,7,15,6.9,8.1,23,11,7.7,2.8,4.9
19-Nov,128,19.9,7.92,265,8.6,65,,,,6,61,5.7,55.3,22,13,6.7,4.9,1.8
26-Nov,135,14.5,7.69,209,9.5,40,3,10,3,9,24,7.5,16.5,17,2.6,12,8.5,3.5
9-Dec,148,11.5,7.24,224,9.9,86.5,0.5,4,0.3,9,6.7,4.2,2.5,14,0.23,12.4,12,0.4
16-Dec,155,,7.65,,,72.5,0.3,4,0.1,5,7.4,5,2.4,16,0.4,12.2,12,0.2
22-Dec,161,9.3,7.53,,10.6,42,2,20,0.3,8.5,23,4.9,18.1,28,3.1,21.3,21,0.3
