Date,Temp.,pH,ORP,DO,Transpa.,E-NH4-N,E-NO3-N,E-NO2-N,SS,BOD,C-BOD,N-BOD,T-N,NH4-N,NOx-N,NO3-N,NO2-N,,,
4-Jan,12.3,7.5,97,7.6,58,2.3,5.8,0.9,12.5,7.2,4.5,2.7,14.5,6.2,8.3,6.9,1.4,,,
11-Jan,13.1,6.9,81,7.2,94,1.8,6.2,1.1,14.2,8.5,3.8,4.7,10.7,5.4,5.3,3.1,2.2,,,
18-Jan,14,7.2,110,7.8,71,2.1,5.5,1.4,10.8,6.9,4.1,2.8,13,6.5,6.5,8.7,4.1,,,
25-Jan,13.2,7.8,74,7.7,47,1.6,5.9,1.3,13.4,7.6,3.4,4.2,11.9,5.9,6,4.5,1.5,,,
1-Feb,14.8,7.1,105,7.5,88,2,5.4,0.8,11.7,8.2,3.9,4.3,12.8,6.7,6.1,7.2,5.3,,,
8-Feb,13.7,7.4,63,7.6,66,1.5,6,1.2,14.9,7.8,4.2,3.6,14.7,6.3,8.4,5.9,2.5,,,
15-Feb,14.5,7,95,7.3,52,2.2,5.7,0.7,10.5,6.3,4.6,1.7,10.3,5,5.3,8.1,3,,,
22-Feb,14.1,7.6,79,7.1,78,1.7,6.1,1,12.3,8.1,3.7,4.4,11.5,6.2,5.3,6.7,2.6,,,
1-Mar,15.3,7.3,113,7.4,63,1.9,5.5,1.5,13.8,7.4,4.3,3.1,12.4,5.8,6.6,9.8,3.5,,,
8-Mar,13.9,7.1,52,7.8,90,2.4,5.8,0.9,10.2,8.9,3.1,5.8,11.2,6.7,4.5,3.2,1.3,,,
15-Mar,15,7.5,92,7.6,41,1.8,6.3,1.1,14.5,7.1,4.8,2.3,13.3,6.4,6.9,6.6,2.7,,,
22-Mar,15.6,7.2,66,7.2,75,2.1,5.6,1.2,11.9,7.9,3.6,4.3,12.1,5.7,6.4,7.8,3.7,,,
29-Mar,16.3,7.7,108,7.3,59,1.6,6,0.8,13.2,8.3,3.3,5,14.1,5.9,8.2,4.4,3.8,,,
5-Apr,15.1,7,56,7.7,82,1.9,5.4,1.4,10.4,7.7,3.7,4,13.7,6.1,7.6,6.2,0.9,,,
12-Apr,16,7.3,106,7.6,65,2.3,5.7,1,14,8,4,4,14.5,6.6,7.9,9.2,4.7,,,
19-Apr,15.2,7.6,69,7.8,57,1.4,6.2,1.2,11.3,6.6,4.7,1.9,11.9,6,5.9,7.4,3.5,,,
26-Apr,17.3,7.2,102,7.5,83,2,5.5,1.1,13.6,7.5,4.4,3.1,12.6,6.8,5.8,8.5,3.6,,,
3-May,17.5,7.4,71,7.4,46,1.5,6,1.3,10.9,7,4.2,2.8,11.8,6.3,5.5,6.9,2.1,,,
10-May,19.2,7.7,92,7.8,67,1.9,5.6,1.1,13.7,8.7,3.3,5.4,13.5,6.4,5.2,8.8,4.8,,,
17-May,22.1,7.4,104,7.5,52,2.2,5.3,0.9,11.2,7.4,4,3.4,10.6,5.7,7.6,7.9,0.4,,,
24-May,20.8,7.8,78,7.3,88,2,6,1.2,14.4,7.9,4.3,3.6,12.3,6.2,8.1,9.5,4.4,,,
31-May,19.4,7.2,95,7.2,76,1.5,5.5,1,10.9,6.6,3.7,2.9,10.8,5.9,5.7,7.7,2,,,
7-Jun,20.7,7.5,66,7.6,43,1.8,6.2,1.3,13.2,8.3,3.9,4.4,12.5,6.8,5.6,9.1,3.7,,,
14-Jun,18.9,7.1,113,7.4,69,2.3,5.7,1.4,11.7,7.2,4.5,2.7,13.9,6.5,8.4,8.9,4.3,,,
21-Jun,21.3,7.6,74,7.7,82,1.6,6,1.1,14,7.8,4.2,3.6,14.1,6.1,6.7,7.3,3.5,,,
28-Jun,19.6,7.3,82,7.5,55,2.1,5.3,0.8,11.5,8.4,3.8,4.6,12.7,6.3,6.2,6.4,0.9,,,
5-Jul,20.9,7,105,7.3,76,1.7,5.9,1.2,13.8,7.6,4.4,3.2,13.6,6.9,6.8,7.7,0.6,,,
12-Jul,21.6,7.4,62,7.5,61,2,6.1,1.3,11.3,7.3,4,3.3,10.5,5.2,5.5,9.6,4.1,,,
19-Jul,19.8,7.1,98,7.7,90,1.5,5.4,0.7,14.5,8.1,4.7,3.4,14.2,6.6,8.2,7.5,3.3,,,
26-Jul,22.3,7.7,75,7.4,46,2.2,5.8,1,12.2,7.7,4.1,3.6,12.3,6.8,7.4,9.3,4.3,,,
2-Aug,22.7,7.3,109,7.6,72,1.8,6.3,1.4,10.6,8,3.6,4.4,10.9,5.4,5.9,8.7,1.8,,,
9-Aug,21.9,7,83,7.8,58,2.1,5.6,1.2,13.5,7.9,4.3,3.6,12.7,6.6,6.6,9.2,3.8,,,
16-Aug,28.1,7.8,114,7.6,79,2.1,5.8,1.2,10.5,7.7,4.1,3.6,11.2,6.6,6.7,7.4,3.5,,,
23-Aug,28.2,7.2,70,7.1,67,1.9,5.7,1.1,14.3,8.5,3.5,5,13.4,5.5,5.1,8.3,2.5,,,
30-Aug,26.9,7.6,84,7.4,50,2.3,6.1,0.8,10.8,6.8,4,2.8,11.8,5.7,6.4,7.6,0.7,,,
6-Sep,25.3,7.3,112,7.6,63,2,5.5,1.3,12.3,7,4.8,2.2,12.5,6.8,7.7,9.4,5,,,
13-Sep,26.5,7,89,7.8,86,1.5,5.9,1,10.2,7.5,4.1,3.4,11,6.1,5.2,6.7,3.5,,,
20-Sep,25.9,7.6,101,7.7,54,2.2,6,1.2,14.1,7.9,4.7,3.2,13.2,6.5,8,9.2,4.2,,,
27-Sep,26.4,7.2,79,7.5,78,1.7,5.4,0.7,11.8,8.1,3.8,4.3,11.6,6.9,7.2,7.3,3.1,,,
4-Oct,18.7,7.5,94,7.2,62,2,5.8,1,10.4,7.6,4.3,3.3,11.1,6.3,5.5,6.8,2.7,,,
11-Oct,20.3,7.1,66,7.1,81,1.8,6.2,1.1,13.9,7.7,3.9,3.8,12.5,6.6,6.4,7.8,3.6,,,
18-Oct,19.1,7.7,108,7.3,59,1.6,6,0.8,12.2,8.3,3.3,5,14.1,5.9,8.2,4.4,3.8,,,
25-Oct,18.4,7.2,73,7.4,81,2.1,5.3,0.8,11.5,7.2,3.8,3.4,12.7,6.3,6.2,6.4,0.9,,,
1-Nov,10.2,7.6,79,7.5,58,2.3,5.7,1.4,11.7,7.2,4.5,2.7,13.9,6.5,8.4,8.9,4.3,,,
8-Nov,12.5,7.3,90,7.4,74,1.9,5.9,1.2,14.8,7.8,4,3.8,13.7,6.8,7.3,9.7,5.5,,,
15-Nov,11,7,62,7.6,53,1.5,6,1.3,11.2,8.3,3.7,4.6,10.9,5.2,5.6,8.4,3.6,,,
22-Nov,12.5,7.5,97,7.8,61,2,6.1,1.2,11.3,7.3,4,3.3,10.5,5.2,5.5,9.6,4.1,,,
29-Nov,11.6,7.2,71,7.7,90,1.5,5.4,0.7,14.5,8.1,4.7,3.4,14.2,6.6,8.2,7.5,3.3,,,
6-Dec,12.2,7.6,83,7.4,46,2.2,5.8,1,12.2,7.7,4.1,3.6,12.3,6.8,7.4,9.3,4.3,,,
13-Dec,12.5,7.3,103,7.3,74,1.7,6.3,1.3,12.5,7.4,4.4,3,13.6,6.9,6.8,7.7,0.6,,,
20-Dec,10.9,7,69,7.2,57,2,5.5,1,10.9,6.6,3.7,2.9,10.8,5.9,5.7,7.7,2,,,
27-Dec,13.2,7.5,95,7.6,43,1.5,6,1.3,13.2,8.3,3.9,4.4,12.5,6.8,5.6,9.1,3.7,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
